,User_name,Mention_name,Type
454,ChloeFontaine,ChloeFontaine,Tweet
455,mrsmoneypenny1,LegendPorsche,RT
456,MikeGarcia80,MikeGarcia80,Tweet
457,LRThornhill,LRThornhill,Tweet
458,SimonsTransport,SimonsTransport,Tweet
459,TheLuxuryOFC,TheLuxuryOFC,Tweet
460,LuxuryCarLondon,LuxuryCarLondon,Tweet
461,NormalGuySuperC,NormalGuySuperC,Tweet
462,VirtualizedCars,VirtualizedCars,Tweet
463,AutoRevup,AutoRevup,Tweet
464,GetReviewedByUs,GetReviewedByUs,Tweet
465,VegasBiLL,RobbReport,Tweet
466,Scott_James_ltd,Scott_James_ltd,Tweet
467,BayfieldLincoln,valley_farms,Tweet
468,Reg_Spotter,Reg_Spotter,Tweet
469,JuliusM54109176,JuliusM54109176,Tweet
470,autobics,autobics,Tweet
471,zedsIy,zapautoexport,RT
472,Rushmores_Cars,Rushmores_Cars,Tweet
473,MBDTYYC,MBDTYYC,Tweet
474,WereBillionaire,WereBillionaire,Tweet
475,Reina_Riccardo,Reina_Riccardo,Tweet
476,VolvoOfEdinburg,VolvoOfEdinburg,Tweet
477,contractcars,contractcars,Tweet
478,AndyCox1972,LegendPorsche,RT
479,IndividualSC,IndividualSC,Tweet
480,LRThornhill,LRThornhill,Tweet
481,EmojiAutoSales,EmojiAutoSales,Tweet
482,ayushijay,ayushijay,Tweet
483,autopartlinker,autopartlinker,Tweet
484,Sheepskin4U,Sheepskin4U,Tweet
485,RimPro_Tec,DeborahCheste11,Tweet
486,autopartlinker,autopartlinker,Tweet
487,autopartlinker,autopartlinker,Tweet
488,diablowheelsusa,LionhartTires,Tweet
489,tenarasimhan,bsindia,RT
490,AmandaA23186736,GeneralQueenB,RT
491,BikeKerala,BikeKerala,Tweet
492,sportsjim,sportsjim,Tweet
493,Reg_Spotter,Reg_Spotter,Tweet
494,JuliusM54109176,JuliusM54109176,Tweet
495,abo_khayat,LegendPorsche,RT
496,Surreal_CARS,Surreal_CARS,Tweet
497,JosephLiden,JosephLiden,Tweet
498,BobFlavin,BobFlavin,Tweet
499,CarsandChaiTO,Sekanskin,Tweet
500,autocarmove,autocarmove,Tweet
501,SelectAutoImpts,SelectAutoImpts,Tweet
502,fynis_im,fynis_im,Tweet
503,VegasBiLL,engadget,Tweet
504,contractcars,contractcars,Tweet
505,Girlan13,LegendPorsche,RT
506,solorider23,solorider23,Tweet
507,carsluxrs,carsluxrs,Tweet
508,TheBestInLuxury,TheBestInLuxury,Tweet
509,autopartlinker,autopartlinker,Tweet
510,autocarmove,autocarmove,Tweet
511,911_Mag,911_Mag,Tweet
512,vintz_shop,vintz_shop,Tweet
513,Gericia,FiExhaust,RT
514,pmillerPorsche,pmillerPorsche,Tweet
515,IconicCarColl,IconicCarColl,Tweet
516,KAPTANVEKAPTAN,cryptoandforex_,RT
517,LUXURYSPORTAUT0,LUXURYSPORTAUT0,Tweet
518,contractcars,contractcars,Tweet
519,TarikPrice,TarikPrice,Tweet
520,Claumi8675,Claumi8675,Tweet
521,VegasBiLL,Forbes,Tweet
522,911_Mag,911_Mag,Tweet
523,Cesarautosla24,Cesarautosla24,Tweet
524,ECDautodesign,ECDautodesign,Tweet
525,autopartlinker,autopartlinker,Tweet
526,Chrisadams703,Chrisadams703,Tweet
527,moralamb1974,carleaseorbuy,RT
528,Bill88699081,911_Mag,RT
529,autoview,Toyota,Tweet
530,britishrent,britishrent,Tweet
531,HiltonTuning,HiltonTuning,Tweet
532,ScoreBMWParts,ScoreBMWParts,Tweet
533,AnthonyLeach256,AnthonyLeach256,Tweet
534,EduardoKuriH,LuxciorMagazine,RT
535,ada_paul23,ada_paul23,Tweet
536,LincolnOfTroy,LincolnOfTroy,Tweet
537,MaltecDetailing,MaltecDetailing,Tweet
538,GetReviewedByUs,GetReviewedByUs,Tweet
539,speedluxcom,speedluxcom,Tweet
540,flyjetedge,flyjetedge,Tweet
541,SMSsupply,LUXURYSPORTAUT0,RT
542,TarikPrice,TarikPrice,Tweet
543,monarch_ent,monarch_ent,Tweet
544,Oldiinvest,SKPOWER_IT,RT
545,autocarmove,CarVisionAuto,RT
546,CorruptPunjab,TheFuturist007,RT
547,CSUTV,CSUTV,Tweet
548,Surreal_CARS,Surreal_CARS,Tweet
549,DESIblitz,DESIblitz,Tweet
550,hotcars1447,hotcars1447,Tweet
551,bryans_cars,LuxMotorPress,RT
552,Alterauto,Volvopassion_fr,RT
553,luxe_cars_com,luxe_cars_com,Tweet
554,UAEClassicCars,UAEClassicCars,Tweet
555,britishrent,britishrent,Tweet
556,JCT600,JCT600,Tweet
557,vintz_shop,vintz_shop,Tweet
558,AmeerLuqman15,carsluxrs,RT
559,MotorSearchMag,MotorSearchMag,Tweet
560,JacquesePer75,LegendPorsche,RT
561,FrancisOleksan7,FrancisOleksan7,Tweet
562,GuySalmonJLR,GuySalmonJLR,Tweet
563,jeroen_stolk,autopartlinker,RT
564,CarParts4LessUK,CarParts4LessUK,Tweet
565,IsaBell222333,Bentley_Bham,RT
566,EmojiAutoSales,EmojiAutoSales,Tweet
567,HousingHelpofSD,SanManuelCasino,Tweet
568,hotcars1447,hotcars1447,Tweet
569,Rushmores_Cars,Rushmores_Cars,Tweet
570,autopartlinker,autopartlinker,Tweet
571,EuroCarParts,EuroCarParts,Tweet
572,autopartlinker,autopartlinker,Tweet
573,HerdadeFozdaRep,BillionsPortal,RT
574,UAEClassicCars,UAEClassicCars,Tweet
575,carsluxrs,carsluxrs,Tweet
576,premiumfoxbrand,TarikPrice,RT
577,GHSavoiaCortina,Lamborghini,Tweet
578,autocarmove,contractcars,RT
579,JaguarThornhill,JaguarThornhill,Tweet
580,Lemonade_Ninja,washninja,Tweet
581,zapautoexport,zapautoexport,Tweet
582,carsofnow_then,carsofnow_then,Tweet
583,michaels_autos,michaels_autos,Tweet
584,TheBestInLuxury,TheBestInLuxury,Tweet
585,WereBillionaire,WereBillionaire,Tweet
586,britishrent,britishrent,Tweet
587,ScoreBMWParts,ScoreBMWParts,Tweet
588,ExplorationsUn1,ExplorationsUn1,Tweet
589,autocarmove,autocarmove,Tweet
590,autocarmove,autocarmove,Tweet
591,zapautoexport,zapautoexport,Tweet
592,shuttlelane,shuttlelane,Tweet
593,cucubtemar,ROYZWINDOWTINT,RT
594,CodeSilverStore,CodeSilverStore,Tweet
595,BroomhallHouse,BroomhallHouse,Tweet
596,Reg_Spotter,Reg_Spotter,Tweet
597,Cesarautosla24,Cesarautosla24,Tweet
598,TheDriftTaxi,TheDriftTaxi,Tweet
599,eastbaybmw,eastbaybmw,Tweet
600,bella_mkay,bella_mkay,Tweet
601,SelectAutoImpts,SelectAutoImpts,Tweet
602,MaryLiNICCA,genesis_bahrain,RT
603,Kluster_Cars,Kluster_Cars,Tweet
604,InvestCorpgh,InvestCorpgh,Tweet
605,911_Mag,911_Mag,Tweet
606,DougJamieson5,LegendPorsche,RT
607,Dailyshoddycars,DailyCarsGB,RT
608,BillionsF1,BillionsPortal,RT
609,LexusJAX,LexusJAX,Tweet
610,speedluxcom,speedluxcom,Tweet
611,vintz_shop,vintz_shop,Tweet
612,autopartlinker,autopartlinker,Tweet
613,21andCarWashing,21andCarWashing,Tweet
614,mahmad4457,LegendPorsche,RT
615,EmojiAutoSales,EmojiAutoSales,Tweet
616,autopartlinker,autopartlinker,Tweet
617,ECDautodesign,ECDautodesign,Tweet
618,autocarmove,autocarmove,Tweet
619,Autos_of_dallas,Autos_of_dallas,Tweet
